TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
1;FC(F)(Cl)C(F)(F)Cl;FC(F)(Cl)C(F)(F)Cl;FC(F)(Cl)C(F)(F)Cl;12dichlorotetrafluoroethane (cryofluorane);1;;Adenot names cryofluorane;-0,07;0,11;0,03;0,00;0,71;170,92;0,00;2,74;2,74;0;0;999;-999;0;0,000;0,000;0,000;1,000;1;0,26;Training;;;;;;
2;CC1CCCCC1(N1CCCCC1)c1sccc1;CC1CCCCC1(N1CCCCC1)c1sccc1;CC1CCCCC1(N1CCCCC1)c1sccc1;2methylthiophencyclidine (gacyclidine);1;;adenot names gacyclidine;1,38;1,11;0,00;0,80;2,21;263,44;31,48;4,36;3,23;0;1;999;8,5;0;0,926;0,000;0,000;0,074;2;0,29;Training;;;;;;
3;CC(Cc1ccccc1)NCCn1cnc2c1C(=O)N(C)C(=O)N2C;CC(Cc1ccccc1)NCCn2cnc3n(C)c(=O)n(C)c(=O)c23;CC(Cc1ccccc1)NCCn2cnc3n(C)c(=O)n(C)c(=O)c23;7amphetaminoethyltheophylline (fenetylline);1;;Adenot names fenetylline;2,20;2,77;0,14;2,21;2,63;341,41;70,47;2,06;0,56;1;7;999;8,9;0;0,969;0,000;0,000;0,031;6;0,43;Training;;;;;;
4;CC(=O)NCCCN1CCN(CC1)c1cc(ccc1Cl)Cl;CC(=O)NCCCN1CCN(CC1)c2cc(Cl)ccc2Cl ;CC(=O)NCCCN1CCN(CC1)c2cc(Cl)ccc2Cl ;acaprazine;1;;;1,66;2,20;0,33;1,64;2,44;330,25;35,58;1,76;1,35;1;4;999;7,6;0;0,613;0,000;0,000;0,387;5;0,28;Training;;;;;;
5;CC(C)CCC[C@@H](C)[C@H]1CCC2C3C[C@@H](Br)[C@@]4(Br)C[C@H](CC[C@]4(C)C3CC[C@]12C)OC(C)=O;CC(C)CCCC(C)C3CCC4C2CC(Br)C1(Br)CC(CCC1(C)C2CCC34C)OC(C)=O ;CC(C)CCCC(C)C3CCC4C2CC(Br)C1(Br)CC(CCC1(C)C2CCC34C)OC(C)=O ;acebrochol;1;;;1,86;2,20;0,05;0,82;4,18;588,50;26,30;10,26;10,26;0;2;999;-999;0;0,000;0,000;0,000;1,000;7;0,76;Training;;;;;;
6;CCC(Br)(CC)C(=O)NC(=O)NC(C)=O;CCC(Br)(CC)C(=O)NC(=O)NC(C)=O ;CCC(Br)(CC)C(=O)NC(=O)NC(C)=O ;acecarbromal;1;;;0,87;1,79;0,69;1,42;1,80;279,13;75,27;1,87;1,66;2;5;7,6;-999;0;0,000;0,387;0,000;0,613;3;0,37;Training;;;;;;
7;CC(=O)OCC(=O)OCC/C(/SC(=O)c1occc1)=C(/C)\N(Cc1cnc(nc1N)C)C=O;CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(Cc2cnc(C)nc2N)C=O ;CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(Cc2cnc(C)nc2N)C=O ;acefurtiamine;1;;;2,35;3,43;0,34;2,63;3,39;476,50;180,22;-0,85;-0,88;2;11;999;6,1;0;0,048;0,000;0,000;0,952;13;0,49;Training;;;;;;
8;CC(=O)N[C@@H](CCC(N)=O)C(O)=O;CC(=O)NC(CCC(N)=O)C(O)=O ;CC(=O)NC(CCC(N)=O)C(O)=O ;aceglutamide;1;;;0,79;1,92;1,09;1,45;1,40;188,18;109,49;-3,13;-6,81;4;6;3,5;-999;1;0,000;1,000;0,000;0,000;5;0,47;Training;;;;;;
9;CC(=O)NCC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1ccccc1;CC(=O)NCC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccccc3 ;CC(=O)NCC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccccc3 ;aceperone;1;;;1,92;2,58;0,40;1,83;3,16;396,50;49,41;2,86;0,38;1;4;999;10;0;0,997;0,000;0,000;0,003;8;0,46;Training;;;;;;
10;CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1O;CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2 ;CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2 ;acetaminosalol;1;;;1,79;2,29;0,74;1,15;2,00;271,27;75,63;2,36;2,36;2;5;9,8;-999;0;0,000;0,004;0,000;0,996;4;0,45;Training;;;;;;
