SMILES,pCHEMBL,Molecular Weight,logP
COc1cccc(-c2n[nH]c(Cc3cccc(Br)c3)n2)c1,8.0,344.21,3.83
COc1ccc(NC(=O)Nc2nc3cn(CCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,6.83,493.53,5.23
O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(F)cc3)nn12,6.24,491.53,4.70
CS(=O)(=O)N1CCN(CCn2ncc3c2nc(N)n2c(=O)n(Cc4cccc(Cl)c4)nc32)CC1,7.98,505.99,0.10
Nc1nc(-c2ccc(C(F)F)o2)nc2sc(CN3CCC(F)(F)CC3)cc12,6.21,400.40,4.70
Nc1nc(-c2ccc(Br)o2)nc2sc(CN3CCOCC3)cc12,7.52,395.28,3.13
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSC(C)C)[C@@H](O)[C@H]3O)c2n1,5.44,405.52,1.71
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,8.3,406.51,2.52
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.18,301.14,3.76
Cc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,6.08,260.30,3.48
CCSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,5.46,306.39,4.29
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(NC)nc32)[C@H](O)[C@]1(C)O,5.4,553.36,0.84
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@](C)(O)[C@@H]1O,5.9,524.32,0.80
COc1ccc(-c2cc(-c3ccccc3)nc(N)c2C#N)cc1OC,6.8,331.38,3.89
N#Cc1c(-c2cccs2)cc(-c2cccs2)nc1N,7.5,283.38,3.99
CCCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,5.11,320.40,3.79
Nc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.26,360.38,2.14
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)cc2n(C)c1=O,6.37,444.49,2.20
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)cc2n(CCC)c1=O,7.03,500.60,3.94
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OCCC)cc3)nn12,7.31,350.43,3.80
CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,6.75,422.84,4.05
COc1ccc(NC(=O)Nc2nc3ccc(Cl)cc3c3nc(-c4ccco4)nn23)cc1,8.03,434.84,4.84
Nc1nc(-c2ccco2)c2nnn(Cc3cccc(C(=O)O)c3)c2n1,6.08,336.31,1.81
O=C(COc1ccc(Nc2nc(OCCc3c[nH]c4cc(Br)ccc34)nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1)Nc1ccccc1,5.94,730.58,4.06
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCC(c5ccccc5)(c5ccccc5)CC4)cc3)cc21,5.45,576.70,5.09
CCCn1c(=O)c2c(nnn2C2CCCC2)n(CCC)c1=O,5.0,305.38,1.69
CCCN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.36,378.23,2.82
CCCN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.22,378.23,2.82
CC(=O)Nc1cc(-c2cc(F)cc(O[C@@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,8.7,424.48,3.13
Nc1nc(-c2ccccc2)cc2nc(-c3ccco3)nn12,8.15,277.29,2.63
CCCn1c(=O)c2nc(-c3cnn(Cc4cc(C(F)(F)F)ccc4Cl)c3)[nH]c2n(CCC)c1=O,5.85,494.91,4.29
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.58,304.39,2.36
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,5.29,587.42,4.00
CCNC(=O)[C@H]1OC(n2cnc3c(NCCCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O,5.29,598.62,1.89
Cn1cc2c(nc(N)n3nc(-c4ccc(F)cc4)nc23)n1,6.45,283.27,1.40
CCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccon4)cc3)nc2n(CCCOC)c1=O,6.67,468.47,1.62
Cn1c(-c2ccco2)nc2c(N)nc(NCCc3ccc(O)cc3)nc21,5.58,350.38,2.57
CCCn1c(=O)c2[nH]c3cnccc3c2n(CCC)c1=O,5.44,286.34,1.86
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42,307.31,1.62
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5c[nH]cn5)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,6.96,636.67,-0.71
Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNN3CCCC3)ccc1C2=O,8.39,371.44,3.04
Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C(F)(F)F)n1,7.6,349.29,3.65
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21,5.8,450.72,2.77
CC(=O)Nc1cc(-c2cncc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,8.52,393.45,2.14
N[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@@H]1O,7.19,482.28,0.62
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,5.54,510.29,0.41
O[C@@H]1CS[C@@H](n2cnc3c(NCc4cccc(Br)c4)ncnc32)[C@@H]1O,6.38,422.31,2.17
Nc1nc(-c2ncccn2)nc2sc(Cc3ccccc3)cc12,7.77,319.39,3.32
COCCOc1ccc(N2CCN(CCNc3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,8.02,478.56,2.23
CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,8.38,362.44,2.80
Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1,6.96,251.29,2.89
S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(Cl)c1,10.42,385.86,4.77
CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,8.45,303.37,3.15
Cc1cc(C)nc(NC(=N)NCCc2c[nH]c3ccc(F)cc23)n1,6.7,326.38,2.89
COc1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,8.11,321.34,2.73
CCCCC#Cc1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,7.92,333.42,0.92
Nc1nc(-c2ccco2)c2ncn(Cc3ccc4ccccc4c3)c2n1,8.85,341.37,3.87
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12,7.24,308.35,1.61
CC1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1,8.52,404.27,3.21
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.09,381.69,5.80
Nc1nc(N2CCN(C(=O)C(c3ccccc3)c3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.03,480.53,2.84
CCCn1c(=O)c2[nH]c(-c3ccc(OC(CC)C(=O)Nc4ccc(Br)cc4)cc3)cc2n(CCC)c1=O,7.5,567.48,5.54
