SMILES,pCHEMBL,Molecular Weight,logP
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)c1,4.62,362.47,3.85
O=C(Nc1cccc(NC(=O)c2cccc(N3CCOCC3)c2)c1)c1cccc(OC2CCN(CC3CC3)CC2)c1,9.3,554.69,5.28
CSCCC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(N)=O,6.68,572.69,-1.05
CCC(=O)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,8.8,513.64,3.64
O=C1C2CCCC1(c1cccc(O)c1)CCN2CCc1ccccc1,5.42,335.45,3.7
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314,6.89,355.43,1.83
O=C1CCC2(NCCCCc3ccc(Cl)cc3)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,8.28,507.07,4.8
O=C(Cc1ccc(Cl)cc1)NC12CCC(=O)C3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,8.95,493,3.55
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)cc2)cc1,5.08,382.94,5.01
CN1CCC23c4c5ccc(O)c4OC2c2c(c4c(n2CCc2ccccc2)CCCC4)CC3(O)C1C5,6.88,482.62,4.23
CCC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,9.55,512.65,4.09
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC(O)C1,9.06,371.31,2.98
CC(=O)Nc1cccc(C2(C)CCN(CCc3ccccc3)CC2C)c1,5.96,350.51,4.49
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC(O)CC1CN1CCCC1,6.92,371.31,2.98
CCC(=O)NC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,6.93,445.51,2.96
COc1ccc2c3c1OC1C(=O)CCC4(NCCCc5ccc(Cl)cc5)C(C2)N(CC2CC2)CCC314,8.73,507.07,4.71
COc1ccc2c3c1OC1C(=O)CCC4(NCCCCc5ccc(Cl)cc5)C(C2)N(CC2CC2)CCC314,6.7,521.1,5.1
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(N)=O,8.47,1332.63,
CN1CCC23c4c5ccc(O)c4OC2c2c(c4c(n2CC2CCCCC2)CCCC4)CC3(O)C1C5,6.82,474.65,4.57
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(N)=O,7.1,1020.25,
COC1CC(N2CCCC2)C(N(C)C(=O)Cc2cccc3occc23)CC1OC.Cl,7.8,436.98,3.09
O=C1NC2CCCCC2N1C1CCN(CC2CCCCCCC2)CC1,5.77,347.55,4.15
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(N)=O,6.36,1401.73,
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCC(O)C1CN1CCCC1,6.23,371.31,2.98
CNC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,5.86,431.49,2.57
COc1ccc(-c2cccn(C(CN3CCCC3)c3ccccc3)c2=O)cc1,7.31,374.48,4.21
CCCC(c1ccccc1)N1CCC(O)(c2ccccc2)CC1,6.61,309.45,4.51
CC(NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(C)NC(=O)CNC(=O)C(NC(=O)C(Cc1ccc(F)cc1)NC(=O)CNC(=O)C(CN)NC(=O)C(N)Cc1ccccc1)C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(N)=O,7.55,1969.27,
O=c1[nH]c2cc3c(cc2o1)C12CCCCC1C(C3)N(CC1CCC1)CC2,8.72,352.48,3.98
Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3,9.74,296.46,3.74
CNC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)N(C)C(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC(C)C)C(N)=O,6.52,1008.24,
O=C(CCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3,9.07,789.16,11.04
CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1CCNC(=O)c1cccs1,9.16,423.97,4.88
Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4,9.7,661.8,3.82
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(N)=O,6.8,1401.73,
CNC(c1ccccc1)C(C)(C)C(=O)NCCc1ccccc1,7.31,310.44,3.33
COc1ccc2c(c1)C1c3cc(OC)ccc3C(C2)N(CC2CC2)C1C,5.27,349.47,4.55
CN1CCC23CC(=O)CCC2C1Cc1ccc(C(N)=O)c(O)c13,8.64,314.38,1.36
NC(=O)c1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314,9.34,384.48,1.1
O=C(CCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3,10.12,705,8.69
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,8.64,257.38,3.08
Nc1nc2cc3c(cc2s1)C(=O)C1C2CCCCC32CCN1CC1CCC1,7.89,381.55,4.38
NC(=O)c1ccc2c(c1O)C13CCCCC1(O)C(C2)N(CC1CC1)CC3,8.64,356.47,2.07
CN1CCC23c4c5ccc(O)c4OC2c2[nH]c4ccc(Br)cc4c2CC3(O)C1C5,6.6,453.34,3.55
CC1C2Cc3ccc4[nH]nnc4c3C1(C)CCN2CC1CC1,9.64,296.42,2.89
CC1C2Cc3cc4nc[nH]c4cc3C1(C)CCN2CC1CC1,10.2,295.43,3.5
CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1,10.15,271.4,3.33
CN1CCC23c4c5ccc(O)c4OC2c2[nH]c4ccccc4c2CC3(CCCc2ccccc2)C1C5,7.2,476.62,6.07
Cl.O=C(Cc1cccc2sccc12)OC1CCCCC1N1CCCC1,6.58,379.95,4.39
CNCC(Cc1ccccc1)N(C)CC(Cc1ccc(O)cc1)N(C)CC(Cc1ccc(O)cc1)N(C)C,5.06,518.75,3.88
CN(C)C(CNC(CN)Cc1ccc(O)cc1)Cc1ccc(O)cc1,4.65,343.47,1.73
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)nc1,6.8,373.52,3.28
O=S(=O)(c1ccccc1-c1ccc(CN2CC3CCCC2C3)cn1)N1CCCC1,7.08,411.57,3.91
CC(C)CC1(c2cccc(O)c2)CCN(CC2CC2)C1,8.6,273.42,3.79
CN(CC(=O)N1CCN(C(=O)c2ccccc2)CC1CN1CCCC1)c1ccc(Cl)c(Cl)c1,5.1,489.45,3.88
CN(CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1CN1CCCC1)c1ccc(Cl)c(Cl)c1,6.6,525.5,3.43
Cl.O=[N+]([O-])c1ccc(Oc2ccc3c(c2)C24CCCCC2(O)C(C3)N(CC2CCC2)CC4)cc1,7.55,485.02,5.36
COc1ccc(S(=O)(=O)N2CCN(C(=O)Cn3c(=O)oc4ccc(Cl)cc43)C(CN3CCCC3)C2)cc1,5.7,549.05,2.25
O=C(Cn1c(=O)oc2ccc(Cl)cc21)N1CCN(S(=O)(=O)c2ccccc2Br)CC1CN1CCCC1,5.7,597.92,3.01
O=C(Cn1c(=O)oc2ccccc21)N1CCN(c2ccccc2)CC1CN1CCCC1,6.4,420.51,2.41
O=C(Cn1c(=O)oc2ccc(Cl)cc21)N1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1CN1CCCC1,5.7,587.02,3.26
